,cnt
2022-03-25 21:06:00,677790.3754631825
2022-03-25 22:01:00,2610006.8460141076
2022-03-25 22:11:00,2811283.7719200864
2022-03-25 22:41:00,670664.2979084915
2022-03-25 22:51:00,698357.2577275848
2022-03-26 00:06:00,693782.2819227832
